tsec,pt,mxpix,mypix,mxmm,mymm,scalemmperpix
-0.019,1,503.179800098555,848.01174254115,5.78753553302904,-65.4320629466528,0.179
-0.019,2,498.871217929476,816.677352386896,4.89234939444712,-59.9054624116796,0.179
-0.019,3,495.239659116293,785.296043386211,4.11150888881279,-54.3588178821229,0.179
-0.019,4,501.504487686341,754.544320197812,3.55997006824178,-48.7813396830228,0.179
-0.019,5,486.981281052343,726.488787681482,3.28723160205171,-43.171278919096,0.179
-0.019,6,495.138006897626,695.542934223531,3.22642777516835,-37.5434082339366,0.179
-0.019,7,501.605080667193,664.740987424961,3.41655257909746,-31.9164252814958,0.179
-0.019,8,500.081654082063,633.099789188517,4.0068178046019,-26.3106134544358,0.179
-0.019,9,499.02770149625,601.507629272725,4.80431735600367,-20.7219035494553,0.179
-0.019,10,497.160867105413,569.934361476769,5.23466250338167,-15.118460582372,0.179
-0.019,11,496.214939845649,538.323840872415,5.09597371482215,-9.4842656499091,0.179
-0.019,12,495.617690075973,506.70711885449,4.91855809537379,-3.83752694374861,0.179
-0.019,13,495.194508543297,475.07954906543,5.10402653683213,1.80096621421534,0.179
-0.019,14,494.151162227863,443.507263996143,5.62866570368798,7.41510485683089,0.179
-0.019,15,500.659021912012,412.507185194153,6.30538187850106,13.0113708592622,0.179
-0.019,16,507.749675913718,381.753632241018,6.84375421889458,18.6196235131797,0.179
-0.019,17,508.173297886055,350.101256330786,7.320832271374,24.2306892431622,0.179
-0.019,18,510.122135326115,318.553913660859,7.99321227360608,29.8158653662932,0.179
-0.019,19,507.087666435005,287.155745037447,8.58977853960501,35.4073860435678,0.179
-0.019,20,517.760784708,257.280246203004,9.50767671947371,40.9398264449116,0.179
-0.018,1,503.190050653301,848.011982770078,5.78912282767849,-65.4297616993651,0.179
-0.018,2,505.008269485251,816.467625904736,4.87011039714925,-59.9058998215304,0.179
-0.018,3,496.191962358941,786.127832766726,4.0749224230047,-54.3611755289037,0.179
-0.018,4,499.039715512818,754.656695166751,3.52792076814652,-48.7840229932567,0.179
-0.018,5,495.34719367509,723.264203817605,3.27601855813781,-43.1728608756846,0.179
-0.018,6,488.932695375794,692.355766942439,3.22907986340181,-37.5441855011182,0.179
-0.018,7,502.966144725998,664.072698006562,3.41889329241787,-31.9172451681085,0.179
-0.018,8,498.785949728453,632.693976619892,4.00618220803323,-26.3115515716136,0.179
-0.018,9,499.563799437593,601.114710319298,4.80363882184547,-20.7227093359859,0.179
-0.018,10,496.252470308707,569.686553241953,5.23477799711181,-15.1190907078269,0.179
-0.018,11,496.65085768231,538.090119849945,5.09615761660459,-9.484802498684,0.179
-0.018,12,497.186443910283,506.49932463655,4.91853343008602,-3.83799335789862,0.179
-0.018,13,495.760465008363,474.934845689167,5.10397558941729,1.80059291741541,0.179
-0.018,14,494.331986860344,443.368447816164,5.62864579494616,7.41482988788186,0.179
-0.018,15,491.334277535235,411.927617537456,6.30535949271167,13.0111875817939,0.179
-0.018,16,499.75566631274,381.453032277875,6.8437250907204,18.6195323367964,0.179
-0.018,17,511.278997873522,352.046867125218,7.32081362451902,24.2306900751667,0.179
-0.018,18,510.661538718073,320.453951767698,7.99323550605823,29.8159528593349,0.179
-0.018,19,514.089903153531,289.042857285047,8.58977182197144,35.4075719722467,0.179
-0.018,20,519.469734736406,257.906697880027,9.50795682736342,40.9400488352049,0.179
-0.017,1,503.171923244456,848.012997457992,5.78935005469619,-65.4294348910677,0.179
-0.017,2,510.013315248087,817.158117643379,4.86502863630195,-59.9061723261894,0.179
-0.017,3,498.062804555779,787.897886942801,4.06667140329501,-54.3618663512415,0.179
-0.017,4,501.332569561958,756.463488252589,3.52076268416009,-48.7847797010316,0.179
-0.017,5,496.999785969374,725.150258684314,3.2736062300167,-43.1733676539853,0.179
-0.017,6,503.751072703899,694.289602353268,3.22976674561969,-37.5445042927378,0.179
-0.017,7,505.242259999863,662.714979342509,3.4194224479269,-31.9175599218484,0.179
-0.017,8,499.416982732226,631.648535669772,4.00598666761163,-26.31188029344,0.179
-0.017,9,499.652540933224,600.046910753227,4.80345186291408,-20.7230000201977,0.179
-0.017,10,496.890912514598,568.56268367163,5.23480653257516,-15.1193344378323,0.179
-0.017,11,496.256585889028,536.963679458237,5.0962082864836,-9.48501575892892,0.179
-0.017,12,495.868137819563,505.360929799383,4.918527040234,-3.83818032845676,0.179
-0.017,13,495.699392172677,473.755826524033,5.10395830942003,1.80043711686808,0.179
-0.017,14,494.785796355906,442.163396732689,5.62863443741265,7.4147063735739,0.179
-0.017,15,489.880219013103,410.97340722682,6.30534877552209,13.0110946237928,0.179
-0.017,16,499.915933926153,380.943413457703,6.84371524483624,18.6194698899934,0.179
-0.017,17,511.328273103507,351.539757488317,7.32080642001308,24.2306583541388,0.179
-0.017,18,508.781309045473,320.021240847542,7.99323795538618,29.8159506567137,0.179
-0.017,19,516.431763922368,289.33742923287,8.58976934443539,35.4076017231532,0.179
-0.017,20,519.868597418534,257.918162531544,9.50801776131213,40.9400971036176,0.179
-0.016,1,503.133445960897,848.014463044661,5.78685714050877,-65.4330569704624,0.179
-0.016,2,488.460389729239,819.793117245025,4.89425538126092,-59.906110006434,0.179
-0.016,3,489.924190107941,789.035266103293,4.11507778291026,-54.3592080041739,0.179
-0.016,4,497.91484864194,756.733927290885,3.56336508210869,-48.7816460854869,0.179
-0.016,5,496.51141010139,724.747767260382,3.28879039746442,-43.171657024048,0.179
-0.016,6,487.713459542565,694.616490905233,3.22653021508331,-37.5438257107299,0.179
-0.016,7,500.679039103363,665.324018833526,3.41633488325638,-31.9167917865998,0.179
-0.016,8,498.937433012562,633.410993402478,4.00667849121975,-26.3109282121995,0.179
-0.016,9,497.763450128815,601.642061718319,4.80425458104059,-20.7222034763627,0.179
-0.016,10,496.622924552438,569.831805025643,5.23466224280135,-15.1187518384277,0.179
-0.016,11,497.0553066498,538.009785594911,5.09599052292317,-9.48453337357538,0.179
-0.016,12,497.366925997287,506.194071424112,4.91855707646825,-3.83776567507207,0.179
-0.016,13,494.927004900756,474.467509948717,5.10401077606325,1.80075357929914,0.179
-0.016,14,494.266587042315,442.652432652478,5.62864389860013,7.41491763117191,0.179
-0.016,15,487.518530644522,411.681814020355,6.30536444102677,13.0112088389203,0.179
-0.016,16,500.264852025918,382.348445518714,6.84374572567794,18.6194861708872,0.179
-0.016,17,510.346484954525,352.213688617668,7.32082371958458,24.2305774356661,0.179
